Fecha,Descripcion,Ingreso,Gasto
23/07/2024,Pago de Membresia,349800,0
14/06/2024,Servicio de Limpieza,0,281600
13/01/2024,Cobro por Clases Personalizadas,441650,0
08/07/2024,Reparacion de Equipo,0,134750
29/01/2024,Compra de Equipo Nuevo,0,289850
26/05/2024,Actualizacion de Software de Control,0,0
06/12/2023,Actualizacion de Software de Control,0,0
24/07/2024,Cobro por Clases Personalizadas,162250,0
27/05/2024,Mantenimiento de Maquinaria,0,196900
23/12/2023,Renovacion de Membresia,0,0
20/06/2024,Servicio de Limpieza,0,129250
19/11/2023,Reparacion de Equipo,0,222750
29/08/2024,Venta de Accesorios,82500,0
23/08/2024,Venta de Accesorios,150700,0
22/11/2023,Cobro por Clases Personalizadas,56100,0
30/03/2024,Reparacion de Equipo,0,145200
30/04/2024,Actualizacion de Software de Control,0,0
11/08/2024,Mantenimiento de Maquinaria,0,226050
29/01/2024,Reparacion de Equipo,0,251350
05/09/2024,Renovacion de Membresia,0,0
12/08/2024,Venta de Accesorios,334950,0
02/09/2024,Renovacion de Membresia,0,0
02/02/2024,Servicio de Limpieza,0,224950
17/07/2024,Compra de Equipo Nuevo,0,125400
24/04/2024,Compra de Insumos,0,249700
16/09/2024,Compra de Equipo Nuevo,0,122100
17/05/2024,Mantenimiento de Maquinaria,0,129800
16/02/2024,Cobro por Clases Personalizadas,323950,0
11/03/2024,Renovacion de Membresia,0,0
15/10/2024,Cobro por Clases Personalizadas,145200,0
13/11/2023,Reparacion de Equipo,0,272250
24/12/2023,Compra de Equipo Nuevo,0,57750
06/05/2024,Actualizacion de Software de Control,0,0
16/03/2024,Venta de Accesorios,225500,0
06/05/2024,Compra de Insumos,0,115500
21/07/2024,Compra de Equipo Nuevo,0,217800
25/07/2024,Actualizacion de Software de Control,0,0
19/05/2024,Compra de Insumos,0,337700
06/10/2024,Reparacion de Equipo,0,281600
29/04/2024,Actualizacion de Software de Control,0,0
09/04/2024,Reparacion de Equipo,0,348150
06/08/2024,Venta de Accesorios,530750,0
10/05/2024,Pago de Membresia,333300,0
20/02/2024,Pago de Membresia,156750,0
27/12/2023,Actualizacion de Software de Control,0,0
27/08/2024,Actualizacion de Software de Control,0,0
06/11/2023,Pago de Membresia,319550,0
28/03/2024,Renovacion de Membresia,0,0
24/05/2024,Venta de Accesorios,466400,0
08/10/2024,Servicio de Limpieza,0,82500